Internal Name;Ship Name;Quality;Weapon Name;HUD Weapon ID;Weapon Type;Crosshair ;Health;MaxSpeed;Acceleration;Deceleration;Rotation Speed;Attack Damage;Attack Knockback;Attack Speed;Attack LifeTime;Attack Delay;Screen Shake Intensity;Screen Shake Duration;Base Drop Chance;Enemy Health;Enemy MaxSpeed;Enemy Acceleration;Enemy Deceleration;Enemy Rotation Speed;Attack Range;Enemy Attack Damage;Enemy Attack Knockback;Enemy Attack Speed;Enemy Attack Liftime;Enemy Attack Delay
Tadpole;S-Tadpole;1;Boltthrower;1;Basic;Normal;100;5;20;4;720;7.5;1;40;2;0.2;0.1;0.2;0.45;20;3;15;3;240;12;5;1;15;2;0.8
Flounder;ISC-Flounder;2;Scattersystem;0;Shotgun;Shotgun;125;4;15;4;720;10;8;40;1.5;0.75;0.6;0.5;0.4;45;4;15;4;360;12;7.5;5;10;3;1.5
Heron;F-Heron;3;Laserthrower;2;Basic;Target;125;10;15;2;720;5;3;40;2;0.15;0.2;0.2;0.4;40;7;8;1;360;12;5;3;15;2;0.6
Archerfish;L-Archerfish;2;Projectile Launcher;3;Laser;Laser;90;6;8;2;720;10;1;0;0.1;0.4;0.1;0.4;0.4;30;6;6;2;360;15;7.5;1;0;0.1;2
Marlin;L-Marlin;3;Volt Accelerator;3;Laser;Laser;125;7;7;4;480;25;3;0;0.3;1;0.8;0.4;0.33;45;2;6;2;240;15;10;3;0;0.3;3
Walrus;W-Walrus;4;Wavebreaker V1;4;Special;Wave;200;8;7;4;240;12.5;20;20;1.3;0.5;0.4;0.7;0.3;65;4;9;6;120;14;15;20;10;1.3;2
Guppy;S-Guppy;1;Guppy Blaster;1;Basic;Normal;80;8;20;1;720;5;1;40;1.25;0.05;0.1;0.3;;;;;;;;;;;;
Humpback;EVIL-Humpback;5;Wavecrasher ;4;Special;Wave;250;4;4;4;120;20;30;10;2;1.5;1;0.5;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
